,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL,Acceleration,Aggression,Agility,Balance,ballControll,Composure,Crossing,Defending,Height,Weight,Nationality,position
0,L. Messi,30,94,633,94,132.7,2161,92,48,90,95,96,97,77,67,170,72,Argentina,CF ST RW
1,Cristiano Ronaldo,32,94,633,94,107,2228,89,63,89,63,93,95,85,76,187,83,Portugal,LW ST
2,Neymar,25,92,314,93,133.8,2105,94,56,96,82,95,92,75,78,175,68,Brazil,LW
3,L. Surez,30,92,571,92,108.6,2321,88,87,86,78,91,85,77,113,182,86,Uruguay,ST
4,M. Neuer,31,92,258,92,68.3,1487,56,29,51,35,48,70,15,31,193,92,Germany,GK
5,De Gea,26,91,330,93,83.4,1465,57,38,60,43,42,64,17,47,193,76,Spain,GK
6,K. De Bruyne,26,91,442,92,117,2234,78,73,82,79,90,86,92,149,181,68,Belgium,CAM CM
7,R. Lewandowski,28,91,398,91,103,2151,79,80,78,80,89,87,62,86,185,79,Poland,ST
8,E. Hazard,26,91,454,91,107,2122,93,54,93,93,93,89,81,74,173,76,Belgium,LW CF
9,T. Kroos,27,90,381,90,88.5,2189,65,60,71,71,89,85,85,218,183,76,Germany,CM CDM
10,M. Hummels,28,90,241,90,70,2063,62,69,64,58,81,91,64,271,191,92,Germany,CB
11,G. Higuan,29,90,308,90,86.2,1965,78,50,75,69,85,86,68,52,186,89,Argentina,ST
12,Sergio Ramos,31,90,347,90,58.2,2154,75,84,79,60,84,80,66,265,184,82,Spain,CB
13,P. Dybala,23,89,241,94,99.7,2086,88,48,91,85,93,84,82,54,177,75,Argentina,CAM ST
14,J. Oblak,24,89,92,93,69.4,1297,43,34,67,49,16,55,13,44,189,84,Slovenia,GK
15,T. Courtois,25,89,213,92,66.1,1298,46,23,61,45,23,52,14,45,199,94,Belgium,GK
16,L. Modri,31,89,381,89,63.8,2231,75,62,93,94,92,84,78,219,172,66,Croatia,CM CDM
17,David Silva,31,89,319,89,65.5,2013,72,55,92,89,91,92,83,106,173,67,Spain,CAM CM
18,S. Agero,29,89,364,89,74.5,2087,90,63,86,91,89,90,70,45,173,70,Argentina,ST
19,G. Chiellini,32,89,252,89,42.6,1867,68,92,59,64,57,82,58,274,187,85,Italy,CB
20,G. Buffon,39,89,123,89,5,1335,49,38,55,49,28,70,13,32,192,92,Italy,GK
21,N. Kant,26,88,274,90,66.6,2166,82,90,83,90,79,85,68,249,168,68,France,CDM CM
22,H. Kane,23,88,235,91,85.7,2120,72,76,73,62,84,89,75,115,188,86,England,ST
23,P. Pogba,24,88,280,92,85.1,2262,75,78,76,63,89,87,80,202,191,84,France,CM CDM
24,A. Griezmann,26,88,168,89,79.5,2153,87,69,90,80,86,86,82,90,175,71,France,ST RW LW
25,C. Eriksen,25,88,235,91,83.4,2091,77,46,80,82,89,87,87,118,182,76,Denmark,CAM RM CM
26,Thiago,26,88,252,89,76.7,2189,78,57,90,86,92,83,72,178,174,70,Spain,CM CAM CDM
27,A. Snchez,28,88,364,88,67.2,2194,88,80,92,87,87,86,81,109,169,62,Chile,LW ST LM
28,D. Godn,31,88,140,88,44.8,1937,64,88,63,58,76,82,55,262,187,79,Uruguay,CB
29,E. Cavani,30,88,235,88,63.8,2111,75,84,81,59,82,84,70,96,185,77,Uruguay,ST
30,G. Bale,27,88,414,88,69.4,2260,93,65,78,65,85,85,86,158,185,81,Wales,RW ST LW
31,H. Lloris,30,88,185,88,42.6,1315,65,31,55,54,34,61,13,40,188,82,France,GK
32,S. Handanovi,32,88,134,88,38.1,1254,51,25,47,36,16,62,12,40,193,92,Slovenia,GK
33,M. Salah,25,87,230,90,70.6,2136,94,63,87,88,88,89,77,121,175,71,Egypt,RW
34,M. Icardi,24,87,134,91,74.5,1916,78,56,76,76,80,85,46,62,181,75,Argentina,ST
35,M. Verratti,24,87,146,90,70.6,2156,69,89,87,94,88,91,72,239,165,60,Italy,CM CDM
36,J. Rodrguez,25,87,280,90,70.6,2136,75,64,83,75,87,87,88,112,180,75,Colombia,CAM CM RM
37,L. Insigne,26,87,151,88,66.1,1982,94,34,96,93,92,83,85,62,163,59,Italy,LW
38,M. ter Stegen,25,87,207,90,49.8,1285,38,43,37,43,18,62,15,33,187,85,Germany,GK
39,Sergio Busquets,28,87,280,87,45.9,2045,50,85,65,55,85,88,62,245,189,76,Spain,CDM CM
40,Jordi Alba,28,87,280,87,44.8,2231,93,75,90,86,83,76,85,251,170,68,Spain,LB
41,Coutinho,25,87,308,90,70.6,2074,88,55,92,92,88,85,79,108,172,68,Brazil,LW LM RM CM
42,P. Aubameyang,28,87,246,87,58.2,2065,94,43,77,70,82,84,77,89,187,80,Gabon,ST
43,J. Boateng,28,87,185,87,45.9,1981,71,82,58,53,70,86,69,264,192,90,Germany,CB
44,Marcelo,29,87,280,87,42.6,2214,79,84,77,82,88,85,90,250,174,80,Brazil,LB
45,M. zil,28,87,230,87,57.1,1920,75,48,83,70,89,78,82,57,180,76,Germany,CAM RW
46,D. Mertens,30,87,151,87,54.3,2050,93,59,94,92,89,81,77,110,169,61,Belgium,CF ST
47,M. Hamk,29,87,146,87,54.3,2184,72,56,76,66,87,84,78,195,183,79,Slovakia,CM
48,Thiago Silva,32,87,151,87,32.5,2108,70,77,74,68,79,81,60,262,183,82,Brazil,CB
49,Piqu,30,87,269,87,42,1974,55,72,58,42,78,86,57,259,194,85,Spain,CB
50,A. Robben,33,87,196,87,34.2,2071,87,47,89,91,88,86,80,81,180,80,Netherlands,RM RW
51,Iniesta,33,87,22,87,33,2060,70,58,79,84,94,89,77,170,171,68,Spain,CM LM
52,Casemiro,25,86,258,89,52.6,2159,63,87,66,57,78,84,52,261,185,84,Brazil,CDM
53,Isco,25,86,280,89,61.6,2119,78,58,87,90,94,86,73,140,176,79,Spain,CM CAM
54,R. Lukaku,24,86,235,90,66.1,2018,78,72,62,47,73,82,75,87,190,94,Belgium,ST
55,C. Immobile,27,86,123,86,53.2,2003,81,77,77,63,83,81,55,96,185,85,Italy,ST
56,Alex Sandro,26,86,196,87,47.6,2207,84,82,79,79,81,82,86,246,180,80,Brazil,LB LM
57,T. Mller,27,86,213,86,53.2,2081,76,57,76,72,81,83,79,116,186,75,Germany,CF RW CAM ST
58,Azpilicueta,27,86,213,88,48.7,2122,77,82,75,73,79,78,80,265,178,78,Spain,CB
59,L. Bonucci,30,86,185,86,37,1988,62,82,60,52,75,86,44,252,190,85,Italy,CB
60,A. Vidal,30,86,179,86,37,2253,65,93,75,77,83,86,76,251,180,75,Chile,CDM CM
61,M. Pjani,27,86,213,86,51,2190,74,68,79,79,89,84,80,210,178,72,Bosnia Herzegovina,CM CDM
62,R. Nainggolan,29,86,146,86,47.6,2286,80,88,81,84,85,84,73,252,176,77,Belgium,CM CAM
63,J. Vertonghen,30,86,174,86,37,2088,68,84,62,55,74,83,68,260,189,88,Belgium,CB
64,I. Rakiti,29,86,308,86,47.6,2127,67,67,72,66,87,81,81,170,184,78,Croatia,CM
65,Filipe Lus,31,86,106,86,32.5,2153,79,81,74,60,81,88,85,256,182,73,Brazil,LB
66,L. San,21,85,185,92,61,2062,93,59,90,82,85,78,83,93,183,75,Germany,LW RW
67,Ederson,23,85,129,89,40.3,1437,64,35,60,48,37,64,20,32,188,86,Brazil,GK
68,Y. Carrasco,23,85,0,90,0,1993,87,61,91,71,89,75,80,84,181,73,Belgium,LM RM
69,R. Sterling,22,85,202,88,54.9,2014,94,34,91,92,87,76,76,160,170,69,England,RW LW CF
70,Roberto Firmino,25,85,196,87,53.8,2163,78,71,82,82,87,86,72,134,181,76,Brazil,ST LW
71,R. Varane,24,85,196,92,52.1,1882,80,77,58,47,77,82,36,255,191,81,France,CB
72,K. Koulibaly,26,85,107,88,44.8,1638,69,87,50,40,60,78,30,261,187,89,Senegal,CB
